000 created (guards idle)                  st=attract  t=   0 by=-1 | g1=idle/000 tgt=(0,0)           | g2=idle/000 tgt=(0,0)           | g3=idle/000 tgt=(0,0)          
011 pump x200 (3.125s chasing (far, no arrive)) st=playing  t= 331 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=alerted/111 tgt=(80,80)     
012 re-spot at 3.125s: chase timer RESET   st=playing  t= 331 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=alerted/111 tgt=(80,80)     
013 pump x200 (3.125s more: still alerted (reset)) st=playing  t= 531 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=alerted/111 tgt=(80,80)     
014 pump x56 (chase clock hits 4.0s -> searching) st=playing  t= 587 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=searching/100 tgt=(80,80)   
015 pump x192 (3.0s search over -> NEAREST wp1) st=playing  t= 779 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
016 g1 investigating again (push #2)       st=playing  t= 779 by=-1 | g1=investigating/100 tgt=(0,0)  | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
017 spot DURING investigate -> alerted     st=playing  t= 779 by=-1 | g1=alerted/111 tgt=(0,0)        | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
018 pump x1 (g1 arrives last_known -> searching) st=playing  t= 780 by=-1 | g1=searching/100 tgt=(30,30)    | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
019 pump x192 (3.0s search over -> patrolling) st=playing  t= 972 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
020 g1 push #3 (orphan below on stack)     st=playing  t= 972 by=-1 | g1=investigating/100 tgt=(0,0)  | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
021 pump x96 (1.5s: pop$ is LIFO -> patrolling) st=playing  t=1068 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
022 g2 investigating (timer at 0)          st=playing  t=1068 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(96,96)  
023 pause during playing (push)            st=paused   t=1068 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(96,96)  
024 pump x192 (3.0s paused: g2 timer FROZEN) st=paused   t=1068 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(96,96)  
025 resume (pop -> playing)                st=playing  t=1068 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(96,96)  
026 pump x96 (1.5s after resume: g2 pops now) st=playing  t=1164 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(96,96)  
027 g2 touches player -> caught            st=caught   t=1164 by= 1 | g1=patrolling/001 tgt=(0,0)     | g2=engaged/110 tgt=(0,0)        | g3=patrolling/001 tgt=(96,96)  
028 restart -> attract (counters reset)    st=attract  t=   0 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=engaged/110 tgt=(0,0)        | g3=patrolling/001 tgt=(96,96)  
ESC escape path: st=escaped by=-1 t=64
029 Q: start after restart: init DROPPED   st=playing  t=   0 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=engaged/110 tgt=(0,0)        | g3=patrolling/001 tgt=(96,96)  
S000 SAVE POINT (push live, alerted, mid)   st=playing  t=  64 by=-1 | g1=investigating/100 tgt=(64,0) | g2=alerted/111 tgt=(80,80)      | g3=patrolling/001 tgt=(0,0)    
S001 restored copy, same tick               st=playing  t=  64 by=-1 | g1=investigating/100 tgt=(64,0) | g2=alerted/111 tgt=(80,80)      | g3=patrolling/001 tgt=(0,0)    
S001 orig  +64 (invest pops on both)        st=playing  t= 128 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=alerted/111 tgt=(80,80)      | g3=patrolling/001 tgt=(0,0)    
S001 rest  +64 (invest pops on both)        st=playing  t= 128 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=alerted/111 tgt=(80,80)      | g3=patrolling/001 tgt=(0,0)    
S002 orig  +224 (chase times out on both)   st=playing  t= 352 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=searching/100 tgt=(80,80)    | g3=patrolling/001 tgt=(0,0)    
S002 rest  +224 (chase times out on both)   st=playing  t= 352 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=searching/100 tgt=(80,80)    | g3=patrolling/001 tgt=(0,0)    
S003 orig  +192 (search resumes patrol on both) st=playing  t= 544 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=patrolling/001 tgt=(96,0)    | g3=patrolling/001 tgt=(0,0)    
S003 rest  +192 (search resumes patrol on both) st=playing  t= 544 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=patrolling/001 tgt=(96,0)    | g3=patrolling/001 tgt=(0,0)    
SP  paused save -> restore -> resume: st=playing t=544
